CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 92.019531 1712632730.8638
MEM 91.878906 1712632730.9643
MEM 92.722656 1712632731.0645
MEM 92.964844 1712632731.1648
MEM 92.683594 1712632731.2653
MEM 93.644531 1712632731.3657
MEM 93.871094 1712632731.4660
MEM 94.105469 1712632731.5663
MEM 93.453125 1712632731.6666
MEM 93.628906 1712632731.7669
MEM 93.910156 1712632731.8674
MEM 94.148438 1712632731.9678
MEM 94.382812 1712632732.0684
MEM 94.621094 1712632732.1688
MEM 94.855469 1712632732.2694
MEM 95.093750 1712632732.3696
MEM 95.328125 1712632732.4702
MEM 95.562500 1712632732.5705
MEM 95.792969 1712632732.6711
MEM 96.019531 1712632732.7716
MEM 96.250000 1712632732.8720
MEM 96.492188 1712632732.9723
MEM 96.730469 1712632733.0727
MEM 96.964844 1712632733.1730
MEM 97.269531 1712632733.2733
MEM 97.507812 1712632733.3738
MEM 97.746094 1712632733.4741
MEM 97.980469 1712632733.5743
MEM 98.281250 1712632733.6749
MEM 98.449219 1712632733.7751
MEM 98.750000 1712632733.8752
MEM 98.992188 1712632733.9756
MEM 99.230469 1712632734.0759
MEM 99.464844 1712632734.1765
MEM 99.695312 1712632734.2768
MEM 99.925781 1712632734.3770
MEM 100.164062 1712632734.4772
MEM 100.398438 1712632734.5774
MEM 100.699219 1712632734.6777
MEM 100.941406 1712632734.7781
MEM 101.164062 1712632734.8783
MEM 102.542969 1712632734.9787
MEM 101.714844 1712632735.0790
MEM 101.957031 1712632735.1794
MEM 102.195312 1712632735.2798
MEM 102.496094 1712632735.3803
MEM 102.738281 1712632735.4809
MEM 102.976562 1712632735.5812
MEM 103.277344 1712632735.6817
MEM 103.515625 1712632735.7823
MEM 103.750000 1712632735.8826
MEM 103.992188 1712632735.9832
MEM 104.296875 1712632736.0834
MEM 104.535156 1712632736.1839
MEM 104.765625 1712632736.2845
MEM 105.007812 1712632736.3847
MEM 105.308594 1712632736.4851
