CMDLINE C:\Users\drako\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 87.468750 1712985484.5371
MEM 87.550781 1712985484.6374
MEM 87.699219 1712985484.7380
MEM 87.785156 1712985484.8387
MEM 87.933594 1712985484.9391
MEM 88.023438 1712985485.0395
MEM 88.171875 1712985485.1401
MEM 88.253906 1712985485.2405
MEM 88.367188 1712985485.3408
MEM 88.492188 1712985485.4412
MEM 88.640625 1712985485.5417
MEM 88.792969 1712985485.6423
MEM 88.886719 1712985485.7427
MEM 89.007812 1712985485.8431
MEM 89.191406 1712985485.9435
MEM 89.281250 1712985486.0439
MEM 89.433594 1712985486.1441
MEM 89.832031 1712985486.2446
MEM 89.980469 1712985486.3451
MEM 90.179688 1712985486.4456
MEM 90.324219 1712985486.5461
MEM 90.449219 1712985486.6465
MEM 90.718750 1712985486.7478
MEM 90.867188 1712985486.8479
MEM 91.000000 1712985486.9486
MEM 91.062500 1712985487.0493
MEM 91.187500 1712985487.1496
MEM 91.214844 1712985487.2499
MEM 91.363281 1712985487.3503
MEM 91.875000 1712985487.4509
MEM 92.027344 1712985487.5515
MEM 91.750000 1712985487.6520
MEM 91.835938 1712985487.7523
MEM 92.523438 1712985487.8531
MEM 92.613281 1712985487.9539
MEM 92.761719 1712985488.0544
MEM 92.308594 1712985488.1551
MEM 92.078125 1712985488.2559
MEM 92.226562 1712985488.3565
MEM 92.996094 1712985488.4571
MEM 93.140625 1712985488.5575
MEM 93.226562 1712985488.6580
MEM 93.378906 1712985488.7582
MEM 93.058594 1712985488.8586
MEM 93.183594 1712985488.9590
MEM 93.308594 1712985489.0592
MEM 93.371094 1712985489.1595
MEM 94.195312 1712985489.2598
MEM 94.273438 1712985489.3601
MEM 93.558594 1712985489.4603
MEM 93.710938 1712985489.5606
MEM 93.796875 1712985489.6609
MEM 93.949219 1712985489.7613
MEM 94.035156 1712985489.8619
MEM 94.187500 1712985489.9622
MEM 94.335938 1712985490.0625
MEM 94.421875 1712985490.1634
MEM 94.570312 1712985490.2637
MEM 94.652344 1712985490.3643
MEM 94.812500 1712985490.4649
MEM 94.960938 1712985490.5653
MEM 95.046875 1712985490.6659
MEM 95.195312 1712985490.7664
MEM 95.285156 1712985490.8671
MEM 95.433594 1712985490.9674
MEM 95.515625 1712985491.0682
MEM 95.664062 1712985491.1688
MEM 95.753906 1712985491.2692
MEM 95.867188 1712985491.3695
MEM 96.050781 1712985491.4701
MEM 96.140625 1712985491.5705
MEM 96.289062 1712985491.6709
MEM 96.375000 1712985491.7717
MEM 96.519531 1712985491.8725
MEM 96.609375 1712985491.9731
MEM 96.757812 1712985492.0738
MEM 96.843750 1712985492.1744
MEM 96.992188 1712985492.2751
MEM 97.078125 1712985492.3756
MEM 97.230469 1712985492.4759
MEM 97.382812 1712985492.5762
MEM 97.468750 1712985492.6765
MEM 97.617188 1712985492.7769
MEM 97.703125 1712985492.8775
MEM 97.851562 1712985492.9778
MEM 97.941406 1712985493.0783
MEM 98.089844 1712985493.1787
MEM 98.238281 1712985493.2792
MEM 98.320312 1712985493.3797
MEM 98.472656 1712985493.4801
MEM 98.558594 1712985493.5805
MEM 98.707031 1712985493.6813
MEM 98.792969 1712985493.7819
MEM 98.945312 1712985493.8825
MEM 99.027344 1712985493.9831
MEM 99.175781 1712985494.0835
MEM 99.253906 1712985494.1843
MEM 99.335938 1712985494.2848
MEM 99.421875 1712985494.3854
MEM 99.570312 1712985494.4861
MEM 99.648438 1712985494.5867
MEM 99.804688 1712985494.6874
MEM 99.890625 1712985494.7881
MEM 100.039062 1712985494.8887
MEM 100.191406 1712985494.9890
MEM 100.277344 1712985495.0896
MEM 100.429688 1712985495.1900
MEM 100.582031 1712985495.2902
MEM 100.667969 1712985495.3907
MEM 100.816406 1712985495.5149
MEM 100.871094 1712985495.6155
MEM 101.050781 1712985495.7163
MEM 101.132812 1712985495.8169
